,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,long,lat
379,381893,SSS PNL Summer18,2018-08-17T09:00:00+00:00,2018-08-17T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
380,381893,SSS PNL Summer18,2018-08-18T09:00:00+00:00,2018-08-18T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
381,381893,SSS PNL Summer18,2018-08-19T09:00:00+00:00,2018-08-19T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
382,381893,SSS PNL Summer18,2018-08-20T09:00:00+00:00,2018-08-20T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
383,381893,SSS PNL Summer18,2018-08-21T09:00:00+00:00,2018-08-21T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
384,381893,SSS PNL Summer18,2018-08-22T09:00:00+00:00,2018-08-22T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
385,381893,SSS PNL Summer18,2018-08-23T09:00:00+00:00,2018-08-23T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
386,381893,SSS PNL Summer18,2018-08-24T09:00:00+00:00,2018-08-24T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
387,381893,SSS PNL Summer18,2018-08-25T09:00:00+00:00,2018-08-25T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
388,381893,SSS PNL Summer18,2018-08-26T09:00:00+00:00,2018-08-26T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
389,381893,SSS PNL Summer18,2018-08-27T09:00:00+00:00,2018-08-27T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
390,381893,SSS PNL Summer18,2018-08-28T09:00:00+00:00,2018-08-28T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
391,381893,SSS PNL Summer18,2018-08-29T09:00:00+00:00,2018-08-29T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
392,381893,SSS PNL Summer18,2018-08-30T09:00:00+00:00,2018-08-30T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
393,381893,SSS PNL Summer18,2018-08-31T09:00:00+00:00,2018-08-31T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
394,381893,SSS PNL Summer18,2018-09-01T09:00:00+00:00,2018-09-01T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
395,381893,SSS PNL Summer18,2018-09-02T09:00:00+00:00,2018-09-02T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
396,381893,SSS PNL Summer18,2018-09-03T09:00:00+00:00,2018-09-03T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
397,381896,SSS PNL Fall18,2018-09-08T09:00:00+00:00,2018-09-08T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
398,381896,SSS PNL Fall18,2018-09-09T09:00:00+00:00,2018-09-09T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
399,381896,SSS PNL Fall18,2018-09-10T09:00:00+00:00,2018-09-10T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
400,381897,SSS PBH Fall18,2018-09-04T14:30:00+00:00,2018-09-04T18:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Breeze Hill Oval,,,55,78,-73.9661654,40.6590446
401,381897,SSS PBH Fall18,2018-09-09T14:30:00+00:00,2018-09-09T18:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Breeze Hill Oval,,,55,78,-73.9661654,40.6590446
402,381901,SSS SOP Fall18,2018-09-07T14:45:00+00:00,2018-09-07T17:30:00+00:00,Parks Department,Special Event,Brooklyn,South Oxford Park: Lawn,,,2,88,-73.9724718,40.6838032
