,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4421,420165,Miscellaneous,2018-08-17T11:00:00+00:00,2018-08-17T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4422,420165,Miscellaneous,2018-08-20T11:00:00+00:00,2018-08-20T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4423,420165,Miscellaneous,2018-08-21T11:00:00+00:00,2018-08-21T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4424,420165,Miscellaneous,2018-08-22T11:00:00+00:00,2018-08-22T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4425,420165,Miscellaneous,2018-08-24T11:00:00+00:00,2018-08-24T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4426,420172,Barbecue,2018-08-18T09:00:00+00:00,2018-08-18T18:30:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park and Orchard Beach: North Picnic Area 1,,,28,45
4427,420206,NETHERLAND AVE BLOCK PARTY,2018-08-25T12:00:00+00:00,2018-08-25T20:00:00+00:00,Street Activity Permit Office,Block Party,Staten Island,NETHERLAND AVENUE between UNION AVENUE and HARBOR ROAD,Full,Full Street Closure,1,121
4428,420260,Christian music busking,2018-08-27T10:00:00+00:00,2018-08-27T15:00:00+00:00,Parks Department,Special Event,Manhattan,Washington Square Park: Garibaldi Plaza,,,2,6
4429,420272,Party,2018-08-18T16:00:00+00:00,2018-08-18T18:30:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park and Orchard Beach: North Picnic Area 2,,,28,45
4430,420309,Lillian Wald Family Day,2018-08-11T12:00:00+00:00,2018-08-11T18:00:00+00:00,Street Activity Permit Office,Block Party,Manhattan,EAST 6 STREET between AVENUE D and FDR DRIVE,Full,Full Street Closure,3,9
4431,420337,Miscellaneous,2018-08-17T10:00:00+00:00,2018-08-17T15:00:00+00:00,Parks Department,Special Event,Queens,Fresh Meadows Playground (P.S. 173): Fresh Meadows Playground (P.S. 173),,,8,107
4432,420340,Annual Block Party,2018-08-26T10:00:00+00:00,2018-08-26T18:00:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,EAST 60 STREET between AVENUE U and AVENUE T,Full,Full Street Closure,18,63
4433,420348,Summer Celebration,2018-08-26T14:00:00+00:00,2018-08-26T17:30:00+00:00,Street Activity Permit Office,Plaza Event,Bronx,Fordham Plaza: Fordham Plaza EAST FORDHAM ROAD between WEBSTER AVENUE and FIREFIGHTERS BOULEVARD,Full,Pedestrian Plaza,6,48
4434,420366,Cultural event,2018-09-08T14:30:00+00:00,2018-09-08T17:30:00+00:00,Street Activity Permit Office,Plaza Event,Bronx,Fordham Plaza: Fordham Plaza EAST FORDHAM ROAD between WEBSTER AVENUE and FIREFIGHTERS BOULEVARD,Full,Pedestrian Plaza,6,48
4435,420397,MOVIE NIGHT,2018-08-25T20:00:00+00:00,2018-08-25T22:00:00+00:00,Parks Department,Special Event,Queens,Grover Cleveland Playground: Picnic Area 01,,,5,104
4436,420405,Barbecue,2018-09-02T07:00:00+00:00,2018-09-02T18:30:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park and Orchard Beach: North Picnic Area 2,,,28,45
4437,420427,Miscellaneous,2018-08-13T10:00:00+00:00,2018-08-13T16:00:00+00:00,Parks Department,Special Event,Brooklyn,Sunset Park: Center Lawn,,,7,72
4438,420427,Miscellaneous,2018-08-14T10:00:00+00:00,2018-08-14T16:00:00+00:00,Parks Department,Special Event,Brooklyn,Sunset Park: Center Lawn,,,7,72
4439,420427,Miscellaneous,2018-08-15T10:00:00+00:00,2018-08-15T16:00:00+00:00,Parks Department,Special Event,Brooklyn,Sunset Park: Center Lawn,,,7,72
4440,420427,Miscellaneous,2018-08-16T10:00:00+00:00,2018-08-16T16:00:00+00:00,Parks Department,Special Event,Brooklyn,Sunset Park: Center Lawn,,,7,72
